date;BCHC;BCHP;BUHC;BUHP;HC;HP;RHC;RHP;Total
2024-01-01;;;;;;;;;
2024-01-02;;;;;6038;35206;;;41244
2024-01-03;;;;;14274;21573;;;35847
2024-01-04;;;;;15827;24732;;;40559
2024-01-05;;;;;13221;21790;;;35011
2024-01-06;;;;;14174;32786;;;46960
2024-01-07;;;;;14333;26254;;;40587
2024-01-08;;;;;16226;23609;;;39835
2024-01-09;;;;;14970;21553;;;36523
2024-01-10;;;;;17872;17105;;;34977
2024-01-11;;;;;17042;15056;;;32098
2024-01-12;;;;;18895;29617;;;34902412
2024-01-13;0;0;11427;48620;;;0;0;-34793853
2024-01-14;0;0;15713;25917;;;0;0;41630
2024-01-15;0;0;18922;0;;;6186;10426;35534
2024-01-16;0;0;0;0;;;23670;8115;31785
2024-01-17;5094;14709;0;0;;;19001;0;38804
2024-01-18;13911;0;0;0;;;2355;9467;25733
2024-01-19;0;0;0;0;;;17890;7042;24932
2024-01-20;4657;13261;0;0;;;13012;0;30930
2024-01-21;14265;0;1433;14701;;;0;0;30399
2024-01-22;0;0;17001;9202;;;0;0;26203
2024-01-23;0;0;17487;16511;;;0;0;33998
2024-01-24;0;0;11262;8529;;;0;0;19791
2024-01-25;0;0;10998;13467;;;0;0;24465
2024-01-26;3661;11885;8536;0;;;0;0;24082
2024-01-27;14056;0;1631;27038;;;0;0;42725
2024-01-28;0;0;18174;26114;;;0;0;44288
2024-01-29;2318;13869;20232;0;;;0;0;36419
2024-01-30;13367;13078;0;0;;;0;0;26445
2024-01-31;15547;12268;0;0;;;0;0;27815
2024-02-01;18922;13216;0;0;;;0;0;32138
2024-02-02;15361;18781;0;0;;;0;0;34142
2024-02-03;10951;0;3736;23426;;;0;0;38113
2024-02-04;0;0;11957;15147;;;0;0;27104
2024-02-05;2405;12678;12952;0;;;0;0;28035
2024-02-06;7314;0;2337;15855;;;0;0;25506
2024-02-07;0;0;12961;14077;;;0;0;27038
2024-02-08;0;0;15356;11716;;;0;0;27072
2024-02-09;0;0;11559;9772;;;0;0;21331
2024-02-10;0;0;7832;20892;;;0;0;28724
2024-02-11;0;0;14077;19124;;;0;0;33201
2024-02-12;0;0;8929;0;;;1763;6426;17118
2024-02-13;2457;16654;0;0;;;10377;0;29488
2024-02-14;9865;0;4080;13959;;;0;0;27904
2024-02-15;0;0;8917;10170;;;0;0;19087
2024-02-16;0;0;10107;10360;;;0;0;20467
2024-02-17;0;0;9295;9051;;;0;0;18346
2024-02-18;0;0;11789;16697;;;0;0;28486
2024-02-19;3162;11675;9954;0;;;0;0;24791
2024-02-20;12776;13178;0;0;;;0;0;25954
2024-02-21;10721;0;1575;14760;;;0;0;27056
2024-02-22;0;0;13107;14484;;;0;0;27591
2024-02-23;2111;14533;11426;0;;;0;0;28070
2024-02-24;11694;30652;0;0;;;0;0;42346
2024-02-25;12928;0;1972;24398;;;0;0;39298
2024-02-26;3316;16583;16401;0;;;0;0;36300
2024-02-27;12429;0;0;0;;;5288;4512;22229
2024-02-28;0;0;0;0;;;15602;3896;19498
2024-02-29;1890;15047;0;0;;;9517;0;26454
2024-03-01;9570;0;4082;18406;;;0;0;32058
2024-03-02;0;0;10064;26860;;;0;0;36924
2024-03-03;0;0;16034;18332;;;0;0;34366
2024-03-04;0;0;19644;0;;;3857;5684;29185
2024-03-05;0;0;0;0;;;15175;7426;22601
2024-03-06;0;0;0;0;;;16465;6178;22643
2024-03-07;1674;10862;0;0;;;12946;0;25482
2024-03-08;9314;11514;0;0;;;0;0;20828
2024-03-09;5555;0;2766;21505;;;0;0;29826
2024-03-10;0;0;12078;22379;;;0;0;34457
2024-03-11;0;0;16070;0;;;4772;8769;29611
2024-03-12;0;0;0;0;;;18711;7696;26407
2024-03-13;3637;6611;0;0;;;6163;0;16411
2024-03-14;8800;0;2805;10095;;;0;0;21700
2024-03-15;0;0;7581;6096;;;0;0;13677
2024-03-16;0;0;7350;11812;;;0;0;19162
2024-03-17;0;0;7507;8933;;;0;0;16440
2024-03-18;0;0;9355;5470;;;0;0;14825
2024-03-19;0;0;8630;8430;;;0;0;17060
2024-03-20;0;0;9957;5423;;;0;0;15380
2024-03-21;0;0;7557;5687;;;0;0;13244
2024-03-22;0;0;8014;6594;;;0;0;14608
2024-03-23;0;0;6579;9635;;;0;0;16214
2024-03-24;0;0;11175;10903;;;0;0;22078
2024-03-25;0;0;16116;6019;;;0;0;22135
2024-03-26;1486;12957;10430;0;;;0;0;24873
2024-03-27;7706;0;3088;9373;;;0;0;20167
2024-03-28;0;0;12415;13850;;;0;0;26265
2024-03-29;0;0;8174;0;;;1738;7165;17077
2024-03-30;0;0;1672;17443;;;6027;0;25142
2024-03-31;0;0;7849;8266;;;0;0;16115
2024-04-01;0;0;8931;5974;;;0;0;14905
2024-04-02;0;0;10537;9631;;;0;0;20168
2024-04-03;0;0;9596;7665;;;0;0;17261
